Charlotte,NC 0
Paw Creek,NC 3.98517
Newell,NC 8.015
Pineville,NC 9.5325
Belmont,NC 11.906
Harrisburg,NC 12.2221
Matthews,NC 12.4724
Fort Mill,SC 13.5282
Mount Holly,NC 13.5597
Huntersville,NC 13.7594
Indian Trail,NC 14.004
Cramerton,NC 14.3542
Mc Adenville,NC 14.4674
Lowell,NC 15.9021
Van Wyck,SC 16.0893
Stanley,NC 17.454
Midland,NC 17.8442
Concord,NC 18.354
Cornelius,NC 18.4609
Davidson,NC 19.2947
Gastonia,NC 19.7077
Waxhaw,NC 20.09
Alexis,NC 20.5348
Stanfield,NC 22.3699
Dallas,NC 22.4152
Monroe,NC 22.5504
Bowling Green,SC 22.6478
Mineral Springs,NC 22.6823
Kannapolis,NC 23.1425
Mount Mourne,NC 23.3408
Iron Station,NC 23.4328
Clover,SC 23.5316
Denver,NC 23.8407
Rock Hill,SC 24.6629
High Shoals,NC 25.1274
Locust,NC 25.3917
Mooresville,NC 25.725
York,SC 26.0237
Landis,NC 26.3388
Wingate,NC 26.7365
Terrell,NC 26.8451
Mount Pleasant,NC 26.9128
Catawba,SC 27.2869
Bessemer City,NC 27.5978
China Grove,NC 28.4514
Sherrills Ford,NC 29.3199
Oakboro,NC 29.3815
Rockwell,NC 29.7593
Marshville,NC 30.2069
Edgemoor,SC 30.2528
Lincolnton,NC 30.367
Kings Mountain,NC 30.7672
Lando,SC 31.318
Lancaster,SC 31.758
Crouse,NC 31.8003
Maiden,NC 32.0054
Mount Ulla,NC 32.1763
Mc Connells,SC 32.6426
Troutman,NC 32.9712
Faith,NC 33.3225
Cherryville,NC 34.1501
Catawba,NC 34.6077
Fort Lawn,SC 35.0394
Gold Hill,NC 35.4138
Waco,NC 35.4387
Smyrna,SC 35.4894
Peachland,NC 35.5706
Barium Springs,NC 35.6797
Granite Quarry,NC 35.7394
Misenheimer,NC 35.8106
Albemarle,NC 36.082
Polkton,NC 36.6826
Grover,NC 36.851
Richburg,SC 37.3524
Newton,NC 37.565
Blacksburg,SC 37.5978
Norwood,NC 37.7887
Salisbury,NC 37.853
Hickory Grove,SC 38.8498
East Spencer,NC 39.0938
Icard,NC 39.1099
Cleveland,NC 39.1678
Sharon,SC 39.2752
Richfield,NC 39.3788
Pageland,SC 39.4985
Earl,NC 40.07
Claremont,NC 40.3903
Spencer,NC 40.5065
New London,NC 40.7154
Vale,NC 40.9837
Ansonville,NC 41.2236
Statesville,NC 41.509
Fallston,NC 41.9454
Woodleaf,NC 42.3795
Badin,NC 42.7938
Conover,NC 42.819
Shelby,NC 42.8484
Chester,SC 42.9754
Great Falls,SC 43.2257
Turnersburg,NC 43.3414
Wadesboro,NC 44.187
Cooleemee,NC 44.5011
Heath Springs,SC 44.5093
Southmont,NC 45.004
Scotts,NC 45.2279
Lawndale,NC 45.7547
Stony Point,NC 45.7828
Linwood,NC 45.8533
Mount Croghan,SC 45.9188
Jonesville,SC 46.1388
Lockhart,SC 46.2362
Hickory,NC 46.5167
Polkville,NC 47.0575
Boiling Springs,NC 47.1345
Kershaw,SC 47.5889
Lattimore,NC 47.8617
Jefferson,SC 47.9649
Gaffney,SC 48.1331
Ruby,SC 48.5852
Hildebran,NC 48.6845
Blackstock,SC 48.9549
Mount Gilead,NC 48.959
Carlisle,SC 49.6996
Mocksville,NC 49.9628
Denton,NC 50.025
Connellys Springs,NC 50.0516
Casar,NC 50.6529
Morven,NC 51.1112
Troy,NC 51.4229
Rhodhiss,NC 51.7979
Liberty Hill,SC 52.0349
Hiddenite,NC 52.0585
Lexington,NC 52.2107
Mooresboro,NC 52.3477
Harmony,NC 52.5174
Lilesville,NC 52.5288
Olin,NC 52.8835
Chesterfield,SC 53.4472
Taylorsville,NC 53.4581
Cliffside,NC 53.4827
Ellenboro,NC 53.5297
Granite Falls,NC 53.6448
Henrietta,NC 53.7794
Westville,SC 53.9275
Rutherford College,NC 54.3071
Pacolet,SC 55.1942
Cowpens,SC 55.5086
Advance,NC 55.5407
Pacolet Mills,SC 55.6335
Mc Farlan,NC 55.7786
Valdese,NC 56.1826
Union,SC 56.6659
Caroleen,NC 57.099
Hudson,NC 57.3024
Bostic,NC 57.3044
Candor,NC 57.5696
Drexel,NC 57.8667
Union Grove,NC 58.0824
Welcome,NC 58.2593
Clifton,SC 58.3085
Bethune,SC 58.4462
Forest City,NC 59.0338
Converse,SC 59.1254
Harris,NC 59.6327
White Stone,SC 59.642
Mayo,SC 59.7122
Glendale,SC 59.895
Cordova,NC 60.1238
Star,NC 60.3211
Thomasville,NC 60.3626
Drayton,SC 60.6961
Ether,NC 60.7596
Blair,SC 60.7967
Ridgeway,SC 60.9539
Patrick,SC 61.0816
Mc Bee,SC 61.1006
Biscoe,NC 61.1026
Clemmons,NC 61.1224
Buffalo,SC 61.3567
Winnsboro,SC 61.4024
Chesnee,SC 61.7137
Moravian Falls,NC 61.8062
Ellerbe,NC 61.9423
Norman,NC 62.5579
Spindale,NC 62.6517
Cassatt,SC 62.8946
Trinity,NC 62.9995
Rockingham,NC 63.0111
Camden,SC 63.0229
Hamptonville,NC 63.2085
Morganton,NC 63.4839
Cheraw,SC 63.6885
Spartanburg,SC 64.2406
Yadkinville,NC 64.3723
Glen Alpine,NC 64.399
Rion,SC 64.5582
Pauline,SC 64.9053
Boomer,NC 64.9274
Lewisville,NC 64.9387
Wallace,SC 65.3788
Boiling Springs,SC 65.5539
Whitmire,SC 65.554
Rural Hall,NC 66.6453
Sophia,NC 66.6946
Lenoir,NC 66.7312
Asheboro,NC 66.7378
Ronda,NC 67.0613
Seagrove,NC 67.2221
Una,SC 67.2613
Nebo,NC 67.341
Wilkesboro,NC 67.3786
Fingerville,SC 67.8464
Wallburg,NC 67.8924
Arcadia,SC 68.0052
Jackson Springs,NC 68.0952
Union Mills,NC 68.1442
Rutherfordton,NC 68.1657
Jenkinsville,SC 68.2479
Eagle Springs,NC 68.2945
Patterson,NC 68.5837
Winston Salem,NC 68.6191
Roebuck,SC 68.726
Tryon,NC 68.8889
Pomaria,SC 69.2695
Fairforest,SC 69.3456
Jonas Ridge,NC 69.4129
Hamlet,NC 69.5269
High Point,NC 69.5496
Boonville,NC 69.7298
Blythewood,SC 69.8925
Columbus,NC 69.9874
Jonesville,NC 70.0019
Hartsville,SC 70.052
Elgin,SC 70.2619
East Bend,NC 70.4473
Cross Anchor,SC 70.5652
Lugoff,SC 70.7403
Pfafftown,NC 70.9002
Bethania,NC 71.1571
Roaring River,NC 71.1959
Enoree,SC 71.2672
Ferguson,NC 71.4115
Moore,SC 71.798
Inman,SC 71.8218
Randleman,NC 72.1825
North Wilkesboro,NC 72.3675
Cedar Falls,NC 72.3933
Hoffman,NC 72.6223
West End,NC 73.0268
Society Hill,SC 73.4129
Glenwood,NC 73.6027
Campobello,SC 73.6936
Wellford,SC 73.6947
Gramling,SC 73.8076
Robbins,NC 74.0872
Franklinville,NC 74.2644
Startex,SC 74.2667
Jamestown,NC 74.3512
Woodruff,SC 74.4013
Marston,NC 74.652
Bennettsville,SC 75.0252
Bennett,NC 75.1032
Little Mountain,SC 75.1469
Tobaccoville,NC 75.4025
Greensboro,NC 75.4594
Mill Spring,NC 75.6485
Bishopville,SC 75.6507
Collettsville,NC 75.7644
State Park,SC 75.811
Kernersville,NC 75.8205
Ramseur,NC 75.9411
Laurel Hill,NC 75.9469
Duncan,SC 75.986
Purlear,NC 76.0913
Clinton,SC 76.1568
Pinebluff,NC 76.2808
Ballentine,SC 76.3092
Irmo,SC 76.5435
Reidville,SC 76.5823
Elkin,NC 76.8707
White Rock,SC 76.8873
Joanna,SC 76.9394
Lyman,SC 76.9483
Gibson,NC 76.9536
Colfax,NC 77.0778
Horatio,SC 77.1503
Pinehurst,NC 77.2284
Walkertown,NC 77.3345
Millers Creek,NC 77.4102
State Road,NC 77.9857
Lydia,SC 77.9866
Aberdeen,NC 78.1701
Marion,NC 78.1846
Lake Lure,NC 78.2128
Pleasant Garden,NC 78.5554
Highfalls,NC 78.6101
Siloam,NC 78.6361
Lynn,NC 78.6944
Deep Gap,NC 78.6976
Peak,SC 78.8236
Newberry,SC 78.9006
Traphill,NC 78.9121
Climax,NC 78.9734
Chapin,SC 79.0848
Carthage,NC 79.3161
Kinards,SC 79.5674
Hays,NC 79.7129
Rembert,SC 80.0789
Prosperity,SC 80.3112
Tatum,SC 80.3859
Landrum,SC 80.7355
Mc Coll,SC 80.7848
Mc Grady,NC 80.8112
Greer,SC 80.9203
Columbia,SC 81.1365
Lamar,SC 81.1998
Pinnacle,NC 81.2954
Linville Falls,NC 81.3513
Chimney Rock,NC 81.361
Blowing Rock,NC 81.3629
Darlington,SC 81.3815
Southern Pines,NC 81.659
Oak Ridge,NC 81.7358
Dobson,NC 81.7878
King,NC 81.8811
Belews Creek,NC 81.8895
Newland,NC 82.0165
Germanton,NC 82.0744
Dalzell,SC 82.0786
Staley,NC 82.122
Old Fort,NC 82.3189
Pineola,NC 82.4998
Wagram,NC 82.8891
Laurinburg,NC 82.998
Ararat,NC 83.0991
Thurmond,NC 83.1264
Saluda,NC 83.6193
Linville,NC 83.7384
Glendale Springs,NC 83.7912
Crossnore,NC 83.9478
Boone,NC 83.9916
Little Switzerland,NC 84.0031
Blenheim,SC 84.014
Roaring Gap,NC 84.1108
Fleetwood,NC 84.2192
Montezuma,NC 84.7116
Gray Court,SC 84.7512
White Plains,NC 84.8331
Julian,NC 84.8592
Walnut Cove,NC 84.9734
Spruce Pine,NC 84.9775
Laurens,SC 85.1796
Bonlee,NC 85.2726
Elliott,SC 85.4568
Siler City,NC 85.4744
Liberty,NC 85.6326
Lakeview,NC 85.7335
Pilot Mountain,NC 85.8386
Fountain Inn,SC 85.925
Taylors,SC 86.0061
Banner Elk,NC 86.133
Bear Creek,NC 86.2214
Silverstreet,SC 86.3176
Goldston,NC 86.3202
Mountville,SC 86.4215
Edneyville,NC 86.4227
Clio,SC 86.4504
Tigerville,SC 86.6484
Glade Valley,NC 86.7651
Simpsonville,SC 86.8921
Plumtree,NC 87.0735
West Jefferson,NC 87.1848
Gerton,NC 87.3866
Cayce,SC 87.4966
Mount Airy,NC 87.5589
Shaw A F B,SC 87.5767
Dana,NC 87.6035
